UID,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M14860,M,298.1,308.6,1551,0.6333080199205777,0,0,0,0,0,0,0
2,L47181,L,298.2,308.7,1408,0.9442896250860024,3,0,0,0,0,0,0
3,L47182,L,298.1,308.5,1498,-0.04884517850680491,5,0,0,0,0,0,0
4,L47183,L,298.2,308.6,1433,0.0013131449069732513,7,0,0,0,0,0,0
5,L47184,L,298.2,308.7,1408,0.1919147738793301,9,0,0,0,0,0,0
6,M14865,M,298.1,308.6,1425,0.24207309729310825,11,0,0,0,0,0,0
7,L47186,L,298.1,308.6,1558,0.021376474272484798,14,0,0,0,0,0,0
8,L47187,L,298.1,308.6,1527,-1.1422966289271685,16,0,0,0,0,0,0
9,M14868,M,298.3,308.7,1667,-1.2024866170237025,18,0,0,0,0,0,0
10,M14869,M,298.5,309.0,1741,-1.6137848690166836,21,0,0,0,0,0,0
11,H29424,H,298.4,308.9,1782,0.4326747262654651,24,0,0,0,0,0,0
12,H29425,H,298.6,309.1,1423,1.1148279246928485,29,0,0,0,0,0,0
13,M14872,M,298.6,309.1,1339,-1.0018533233685898,34,0,0,0,0,0,0
14,M14873,M,298.6,309.2,1742,-2.0451464503751753,37,0,0,0,0,0,0
15,L47194,L,298.6,309.2,2035,0.8439729782584461,40,0,0,0,0,0,0
16,L47195,L,298.6,309.2,1542,0.663403013968845,42,0,0,0,0,0,0
17,M14876,M,298.6,309.2,1311,0.5630863671412888,44,0,0,0,0,0,0
18,M14877,M,298.7,309.2,1410,1.4559045239065398,47,0,0,0,0,0,0
19,H29432,H,298.8,309.2,1306,-0.7510617062996991,50,0,0,0,0,0,0
20,M14879,M,298.9,309.3,1632,0.2721680913413756,55,0,0,0,0,0,0
21,H29434,H,298.9,309.3,1375,0.4828330496792433,58,0,0,0,0,0,0
22,L47201,L,298.8,309.3,1450,-0.9316316705893005,63,0,0,0,0,0,0
23,M14882,M,298.9,309.3,1581,-1.4332149047270821,65,0,0,0,0,0,0
24,L47203,L,299.0,309.4,1758,-0.26954180152742907,68,0,0,0,0,0,0
25,M14884,M,299.0,309.4,1561,-1.6739748571132171,70,0,0,0,0,0,0
26,L47205,L,299.0,309.5,1861,-0.09900350192058306,73,0,0,0,0,0,0
27,L47206,L,299.1,309.5,1512,-1.5435632162373938,75,0,0,0,0,0,0
28,H29441,H,299.1,309.4,1811,0.42264306158271003,77,0,0,0,0,0,0
29,L47208,L,299.1,309.4,1439,-0.991821658685834,82,0,0,0,0,0,0
30,L47209,L,299.0,309.4,1693,0.8239096488929353,84,0,0,0,0,0,0
31,M14890,M,299.1,309.5,1339,-1.4532782340925934,86,0,0,0,0,0,0
32,L47211,L,299.0,309.4,1798,0.8339413135756903,89,0,0,0,0,0,0
33,L47212,L,299.0,309.4,1419,-0.7510617062996991,91,0,0,0,0,0,0
34,L47213,L,298.9,309.3,1665,-0.530365083279075,93,0,0,0,0,0,0
35,M14894,M,298.8,309.1,1559,0.8640363076239577,95,0,0,0,0,0,0
36,M14895,M,298.8,309.2,1452,-0.32973178962396227,98,0,0,0,0,0,0
37,M14896,M,298.9,309.2,1581,-0.07894017255507152,101,0,0,0,0,0,0
38,L47217,L,298.8,309.1,1439,1.074701265961826,104,0,0,0,0,0,0
39,H29452,H,298.9,309.2,1379,1.255271230251427,106,0,0,0,0,0,0
40,L47219,L,298.8,309.1,1350,0.5430230377757772,111,0,0,0,0,0,0
41,L47220,L,298.8,309.1,1362,1.0847329306445812,113,0,0,0,0,0,0
42,L47221,L,298.8,309.1,1368,0.9141946310377358,115,0,0,0,0,0,0
43,M14902,M,298.8,309.1,1368,0.8540046429412019,117,0,0,0,0,0,0
44,H29457,H,298.8,309.2,1372,0.7536879961136456,120,0,0,0,0,0,0
45,M14904,M,298.8,309.1,1472,0.9141946310377358,125,0,0,0,0,0,0
46,L47225,L,298.8,309.1,1489,-1.4231832400443263,128,0,0,0,0,0,0
47,M14906,M,298.7,309.0,1843,0.6333080199205777,130,0,0,0,0,0,0
48,L47227,L,298.8,309.1,1418,1.3957145358100058,133,0,0,0,0,0,0
49,H29462,H,298.8,309.2,1425,0.4126113968999543,135,0,0,0,0,0,0
50,M14909,M,298.9,309.2,1412,-3.54989615278852,140,0,0,0,0,0,0
51,L47230,L,298.9,309.1,2861,1.496031182637562,143,1,0,0,1,0,0
52,L47231,L,298.9,309.1,1383,0.382516402851687,145,0,0,0,0,0,0
53,H29466,H,298.8,309.0,1497,-0.49023842454805255,147,0,0,0,0,0,0
54,L47233,L,298.7,309.0,1565,-0.991821658685834,152,0,0,0,0,0,0
55,L47234,L,298.7,309.0,1691,0.07153479768626296,154,0,0,0,0,0,0
56,L47235,L,298.8,309.1,1512,0.24207309729310825,156,0,0,0,0,0,0
57,L47236,L,298.8,309.1,1477,0.03140813895523986,158,0,0,0,0,0,0
58,L47237,L,298.8,309.1,1513,-1.0520116467823681,160,0,0,0,0,0,0
59,M14918,M,298.8,309.0,1661,1.445872859223784,162,0,0,0,0,0,0
60,L47239,L,298.8,309.1,1378,1.265302894934183,165,0,0,0,0,0,0
61,L47240,L,298.8,309.1,1393,-0.17925681938262783,167,0,0,0,0,0,0
62,M14921,M,298.8,309.0,1592,-1.7141015158442399,169,0,0,0,0,0,0
63,L47242,L,298.8,309.0,1829,-1.4131515753615709,172,0,0,0,0,0,0
64,M14923,M,298.9,309.0,1812,-0.13913016065160544,174,0,0,0,0,0,0
65,L47244,L,299.0,309.1,1523,0.5129280437275106,177,0,0,0,0,0,0
66,L47245,L,299.0,309.1,1394,-1.1322649642444131,179,0,0,0,0,0,0
67,M14926,M,298.9,308.9,1679,0.4126113968999543,181,0,0,0,0,0,0
68,H29481,H,298.8,308.9,1466,-0.7610933709824549,184,0,0,0,0,0,0
69,L47248,L,298.8,308.9,1527,2.5794509683751707,189,0,0,0,0,0,0
70,L47249,L,298.9,309.0,1410,-1.7441965098925065,191,1,0,0,1,1,0
71,M14930,M,298.9,309.0,1924,0.5530547024585329,193,0,0,0,0,0,0
72,L47251,L,298.9,309.1,1452,0.4427063909482209,196,0,0,0,0,0,0
73,L47252,L,298.9,309.1,1369,-0.5002700892308083,198,0,0,0,0,0,0
74,L47253,L,299.0,309.1,1592,-0.7711250356652106,200,0,0,0,0,0,0
