UID,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M14860,M,298.1,308.6,0.31621449037344773,42.8,37.80012274604596,0,0,0,0,0,0
2,L47181,L,298.2,308.7,0.3162144903642506,46.3,1.6647400038579998,0,0,0,0,0,0
3,L47182,L,298.1,308.5,0.3162144903704605,49.4,3.009166266430343,0,0,0,0,0,0
4,L47183,L,298.2,308.6,0.3162144903661399,39.5,4.202091475389082,0,0,0,0,0,0
5,L47184,L,298.2,308.7,0.3162144903642506,40.0,5.298888798268857,0,0,0,0,0,0
6,M14865,M,298.1,308.6,0.3162144903655503,41.9,6.326739846619082,0,0,0,0,0,0
7,L47186,L,298.1,308.6,0.3162144903738111,42.4,7.7725069948436305,0,0,0,0,0,0
8,L47187,L,298.1,308.6,0.31621449037214844,40.2,8.686249281651474,0,0,0,0,0,0
9,M14868,M,298.3,308.7,0.3162144903786895,28.6,9.567435202418638,0,0,0,0,0,0
10,M14869,M,298.5,309.0,0.31621449038131527,28.0,10.837959626080746,0,0,0,0,0,0
11,H29424,H,298.4,308.9,0.3162144903825809,23.9,12.056835026471859,0,0,0,0,0,0
12,H29425,H,298.6,309.1,0.3162144903654007,44.3,13.994886402333325,0,0,0,0,0,0
13,M14872,M,298.6,309.1,0.31621449035824023,51.1,15.838089279095692,0,0,0,0,0,0
14,M14873,M,298.6,309.2,0.31621449038134763,30.0,16.90610749660777,0,0,0,0,0,0
15,L47194,L,298.6,309.2,0.3162144903882613,19.6,17.94932822930998,0,0,0,0,0,0
16,L47195,L,298.6,309.2,0.31621449037297034,48.4,18.632222529297646,0,0,0,0,0,0
17,M14876,M,298.6,309.2,0.3162144903554128,46.6,19.305767361350373,0,0,0,0,0,0
18,M14877,M,298.7,309.2,0.3162144903644069,45.6,20.299731029228735,0,0,0,0,0,0
19,H29432,H,298.8,309.2,0.31621449035488114,54.5,21.275490189713718,0,0,0,0,0,0
20,M14879,M,298.9,309.3,0.31621449037726945,32.5,22.865015303569038,0,0,0,0,0,0
21,H29434,H,298.9,309.3,0.3162144903615325,42.7,23.798589005345022,0,0,0,0,0,0
22,L47201,L,298.8,309.3,0.31621449036734833,44.8,25.32414496662508,0,0,0,0,0,0
23,M14882,M,298.9,309.3,0.3162144903749586,30.7,25.924462213852724,0,0,0,0,0,0
